OpCode	CameraIndex	Descriptor	CameraModel	ImageRows	ImageCols	XPixelSize	YPixelSize	XPPOffset	YPPOffset	FocalLength	RadialK3	RadialK5	RadialK7	DecentringP1	DecentringP2	Orthogonality	Affinity	CameraX	CameraY	CameraZ	Omega	Phi	Kappa	UnitName
JV_032	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0810691165	0.0682187780	4.1980839939	0.0023166323	0.0009406313	0.0000000000	0.0015092089	0.0008890765	0.0000000000	-0.0005940655	340.1014059592	0.0000000000	0.0000000000	0.4090241330	5.2023433137	1.1518837423	mm
GUZ(C)S2-R1	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0236380363	-0.0306366515	4.1777789346	0.0030638037	0.0009351572	0.0000000000	0.0012752467	-0.0001645574	0.0000000000	-0.0002492479	-287.9649309468	0.0000000000	0.0000000000	0.4786284090	-8.7321824619	4.3266462697	mm
GUZ(C)S2-R1	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.1547388509	-0.0011865687	4.1665306934	0.0041785567	0.0002743720	0.0000000000	0.0016589831	-0.0000482222	0.0000000000	0.0013492309	287.9649309468	0.0000000000	0.0000000000	-0.4786284090	6.5754421225	2.0444585365	mm
GUZ(JB)S1-R3	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
GUZ(JB)S1-R3	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
FISZS1-R2	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
FISZS1-R2	1			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
FISPZS3-R2	0	Left	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0067392151	-0.0229221136	4.1811890608	0.0046190977	-0.0003313903	0.0000000000	0.0001890502	-0.0008604666	0.0000000000	-0.0014035493	-339.0299977323	0.0000000000	0.0000000000	-0.3915435992	-6.2202698809	-2.3406132533	mm
FISPZS3-R2	1	Right	Derived from CAL	1080	1920	0.0025000000	0.0025000000	0.0764403320	-0.1151607059	4.1810506155	0.0039688714	0.0001097156	0.0000000000	0.0005059840	-0.0018051650	0.0000000000	-0.0007344926	339.0299977323	0.0000000000	0.0000000000	0.3915435992	8.1131395559	-1.9446529730	mm
HRSPZS4-R4	0			0	0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	mm
