"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP41-3",-30.712017,115.113217,"20061022","Jurien Bay","SP Scientific Reference","41","10","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP41-4",-30.712017,115.113217,"20061022","Jurien Bay","SP Scientific Reference","41","10","Dave Lenel","Green Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP42-1",-30.29043007,114.966507,"20061023","Jurien Bay","General Use","42","10","Kev Crane",NA,2006,"11:00:00","Fished","Yes","Yes"
"JBMP42-2",-30.29043007,114.966507,"20061023","Jurien Bay","General Use","42","10","Kev Crane",NA,2006,"11:00:00","Fished","Yes","Yes"
"JBMP42-3",-30.29043007,114.966507,"20061023","Jurien Bay","General Use","42","10","Arianna Polacheck",NA,2006,"11:00:00","Fished","Yes","Yes"
"JBMP42-4",-30.29043007,114.966507,"20061023","Jurien Bay","General Use","42","10","Arianna Polacheck",NA,2006,"11:00:00","Fished","Yes","Yes"
"JBMP5-1",-30.32908249,114.9877167,"20061027","Jurien Bay","General Use","5","5","Kev Crane","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP5-2",-30.32908249,114.9877167,"20061027","Jurien Bay","General Use","5","5","Kev Crane","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP5-3",-30.32908249,114.9877167,"20061027","Jurien Bay","General Use","5","5","Dave Lenel","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP5-4",-30.32908249,114.9877167,"20061027","Jurien Bay","General Use","5","5","Dave Lenel","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP6-1",-30.29006577,114.9724808,"20061013","Jurien Bay","General Use","6","5","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP6-2",-30.29006577,114.9724808,"20061013","Jurien Bay","General Use","6","5","Arianna Polacheck","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP6-3",-30.29006577,114.9724808,"20061013","Jurien Bay","General Use","6","5","Dave Lenel","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP6-4",-30.29006577,114.9724808,"20061013","Jurien Bay","General Use","6","5","Dave Lenel","Hill River",2006,"11:00:00","Fished","Yes","Yes"
"JBMP7-1",-30.17124939,114.9554977,"20061010","Jurien Bay","SP Scientific Reference","7","5","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP7-2",-30.17124939,114.9554977,"20061010","Jurien Bay","SP Scientific Reference","7","5","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP7-3",-30.17124939,114.9554977,"20061010","Jurien Bay","SP Scientific Reference","7","5","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP7-4",-30.17124939,114.9554977,"20061010","Jurien Bay","SP Scientific Reference","7","5","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP8-1",-30.1340332,114.9489136,"20061015","Jurien Bay","Sanctuary","8","3","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP8-2",-30.1340332,114.9489136,"20061015","Jurien Bay","Sanctuary","8","3","Arianna Polacheck","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
"JBMP8-3",-30.1340332,114.9489136,"20061015","Jurien Bay","Sanctuary","8","3","Dave Lenel","Fisherman Islands",2006,"11:00:00","No-take","Yes","Yes"
