OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
JMP-S41	307	S41_L.MP4	59815	S41_R.MP4	58862	824.41000	6	0.73500	1229.73803	-529.51806	-4206.26893	6.36504	3.07727	21.93352	8.97799	4414.22058	17.78897	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	309	S41_L.MP4	59968	S41_R.MP4	59015	824.46100	6	0.78600	694.64283	-392.86345	-2178.78523	1.95634	1.29884	5.76942	2.40708	2320.33951	20.28008	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	311	S41_L.MP4	60009	S41_R.MP4	59056	824.47467	6	0.79967	1782.06487	276.52533	-5576.75901	11.86959	3.01798	37.81209	1.45132	5861.09738	17.87253	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	313	S41_L.MP4	60111	S41_R.MP4	59158	824.50867	6	0.83367	798.62961	364.26098	-2212.56806	2.15666	1.28281	5.72498	0.01900	2380.32618	21.50527	Kyphosidae	Kyphosus	cornelii	37361012	1	AD	Passing			
JMP-S41	323	S41_L.MP4	75309	S41_R.MP4	74356	829.57467	7	0.15767	-1005.25975	-414.69744	-2139.99624	2.29290	1.18472	4.79288	0.64490	2400.43851	27.06403	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	335	S41_L.MP4	76164	S41_R.MP4	75211	829.85967	7	0.44267	154.05428	-168.52226	-5506.67259	2.52477	2.49472	41.94059	8.65379	5511.40413	2.62574	Labridae	Thalassoma	lutescens	37384168	1	AD	Passing			
JMP-S41	337	S41_L.MP4	76333	S41_R.MP4	75380	829.91600	7	0.49900	-1473.83711	-402.30310	-5745.21111	10.72874	3.53573	42.21188	1.94508	5944.87127	14.98102	Pomacentridae	Parma	mccullochi	37372093	1	AD	Passing			
JMP-S41	339	S41_L.MP4	76957	S41_R.MP4	76004	830.12400	7	0.70700	1541.28515	738.02680	-4154.53668	7.20588	3.91849	19.78097	0.44969	4492.26207	22.21889	Labridae	Coris	auricularis	37384088	1	AD	Passing			
JMP-S41	342	S41_L.MP4	77021	S41_R.MP4	76068	830.14533	7	0.72833	1255.14776	558.29152	-4440.07713	6.89466	3.64065	24.53000	0.58701	4647.72743	17.06076	Labridae	Coris	auricularis	37384088	2	AD	Passing			
JMP-S41	343	S41_L.MP4	77021	S41_R.MP4	76068	830.14533	7	0.72833	671.62682	565.74805	-4268.62358	4.06802	3.74930	24.32120	3.31128	4358.01569	11.41628	Labridae	Coris	auricularis	37384088	2	AD	Passing			
