"Sample","Family","Genus","Species","Count"
"JBMP12-3","Pomacentridae","Parma","mccullochi",8
"JBMP12-3","Pomacentridae","Parma","mccullochi",3
"JBMP12-3","Labridae","Notolabrus","parilus",1
"JBMP12-3","Pomacentridae","Parma","occidentalis",1
"JBMP12-3","Apogonidae","Ostorhinchus","victoriae",4
"JBMP12-4","Pempherididae","Pempheris","klunzingeri",450
"JBMP12-4","Pomacentridae","Parma","mccullochi",2
"JBMP12-4","Labridae","Coris","auricularis",5
"JBMP12-4","Labridae","Notolabrus","parilus",14
"JBMP12-4","Apogonidae","Ostorhinchus","victoriae",1
"JBMP12-4","Kyphosidae","Kyphosus","cornelii",3
"JBMP12-4","Labridae","Thalassoma","lutescens",1
"JBMP12-4","Pomacentridae","Pomacentrus","milleri",1
"JBMP12-4","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP12-4","Labridae","Coris","auricularis",2
"JBMP12-4","Labridae","Coris","auricularis",1
"JBMP12-4","Labridae","Halichoeres","brownfieldi",16
"JBMP12-4","Chaetodontidae","Chelmonops","curiosus",1
"JBMP12-4","Monodactylidae","Schuettea","woodwardi",20
"JBMP12-4","Labridae","Notolabrus","parilus",11
"JBMP12-4","Labridae","Notolabrus","parilus",3
"JBMP12-4","Pomacentridae","Parma","occidentalis",1
"JBMP12-4","Kyphosidae","Kyphosus","cornelii",5
"JBMP12-4","Kyphosidae","Kyphosus","cornelii",1
"JBMP12-4","Kyphosidae","Kyphosus","sydneyanus",1
"JBMP12-4","Pomacentridae","Parma","mccullochi",1
"JBMP12-4","Pomacentridae","Parma","mccullochi",5
"JBMP12-4","Labridae","Coris","auricularis",5
"JBMP12-4","Labridae","Halichoeres","brownfieldi",6
"JBMP12-4","Serranidae","Epinephelides","armatus",1
"JBMP12-4","Labridae","Notolabrus","parilus",5
"JBMP12-4","Haemulidae","Plectorhinchus","flavomaculatus",1
"JBMP12-4","Scorpididae","Scorpis","georgiana",8
"JBMP12-4","Scorpididae","Scorpis","georgiana",1
"JBMP12-4","Labridae","Thalassoma","lutescens",1
"JBMP12-4","Labridae","Thalassoma","septemfasciatum",1
"JBMP12-4","Labridae","Thalassoma","septemfasciatum",1
"JBMP12-4","Pomacentridae","Pomacentrus","milleri",1
"JBMP12-4","Labridae","Pictilabrus","laticlavius",1
"JBMP12-4","Pomacentridae","Parma","mccullochi",3
"JBMP12-4","Pomacentridae","Parma","mccullochi",14
"JBMP12-4","Labridae","Coris","auricularis",1
"JBMP12-4","Labridae","Coris","auricularis",1
"JBMP12-4","Labridae","Coris","auricularis",1
"JBMP12-4","Labridae","Halichoeres","brownfieldi",1
"JBMP12-4","Chaetodontidae","Chelmonops","curiosus",2
